Province,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021
ACEH,1579.77,1755.06,1815.04,1965.55,2119,2409.11,2587.71,2781.50,2937.99,3074.47
SUMATERA UTARA,7194.03,7809.32,7917.24,8271.01,8703.67,9671.48,10445.02,8324.86,11192.85,11748.40
SUMATERA BARAT,2403.1,2649.08,2712.85,3005.26,3063.28,3415.29,3496.18,3445.08,3429.29,3646.20
RIAU,2361.15,2723.81,3597.44,3338.33,3586.45,4069.93,4377.21,4646.79,4967.05,6108.32
JAMBI,1054.17,860.39,955.66,1037.45,1083.79,1176.09,1219.01,1932.00,2010.60,2111.92
SUMATERA SELATAN,2978.86,3863.12,4162.09,4477.49,4783.02,5239.35,5501.26,5258.23,5312.77,5593.93
BENGKULU,493.95,566.95,641.52,729.64,785.43,852.84,907.45,955.47,1013.50,1058.61
LAMPUNG,2425.94,2793.36,3182.21,3392.44,3571,3998.3,4257.15,4686.09,4959.02,5176.94
KEP. BANGKA BELITUNG,535.61,664.72,721.24,805.43,861.52,979.19,1066.35,1166.93,1217.52,1369.20
KEP. RIAU,2010.3,2190.04,2421.92,2618.48,2694.79,2823.17,2990.44,3346.31,887.60,3478.63
DKI JAKARTA,35061.38,38168.75,39937.28,41269.03,41328.6,31643.13,32779.19,34107.88,32166.72,32709.30
JAWA BARAT,34053.6,36655.28,39092.56,43096.46,44071.43,50791.2,52878.86,54480.28,49542.25,53318.02
JAWA TENGAH,15315.89,16600.42,18205.08,19631.46,20408.19,21057.04,23558.02,24750.62,25090.74,26661.16
DI YOGYAKARTA,1869.77,2043.75,2205.79,2369.6,2484.16,2724.49,2856.95,2856.95,3012.45,3108.38
JAWA TIMUR,24018.69,26910.18,28708.11,30523.98,30824.81,34114.16,35817.9,37228.94,37613.55,39457.19
BANTEN,7955.54,8457.8,9750.37,8562.97,8575.1,22557.53,23736.3,24646.11,22268.71,23830.91
BALI,3223.94,3546.6,3914.32,4335.03,4594.18,5069.64,5247.16,5706.73,4946.86,4708.02
NUSA TENGGARA BARAT,837.17,976.39,1133.33,1291.47,1402.3,1677.54,1776.81,1950.25,2149.42,2290.19
NUSA TENGGARA TIMUR,486.91,567.32,639.57,702.26,749.76,855.25,927.41,999.49,1133.48,1160.16
KALIMANTAN BARAT,1434.72,1603.72,1889.39,1862.44,1989.63,2252.06,2373.12,2572.69,2715.67,2912.98
KALIMANTAN TENGAH,649.95,752.34,854.78,970.16,1048.64,1134.95,1223.79,1358.77,1493.69,1597.89
KALIMANTAN SELATAN,1467.13,1688.44,1880.66,2092.23,2187.64,2391.87,2602.39,2819.16,2939.00,3050.71
KALIMANTAN TIMUR,2277.22,2502.32,2731.58,2815.55,3007.3,3418.33,3637.27,3952.88,4123.86,4117.44
KALIMANTAN UTARA,-,-,180.73,199.37,206.5,180.59,183.32,264.55,261.82,184.50
SULAWESI UTARA,986.62,1087.08,1192.52,1240.32,1302.58,1544.87,1676.89,1787.87,1862.28,1940.26
SULAWESI TENGAH,574.71,686.19,758.7,865.77,948.78,1068.79,1171.08,1146.23,1271.06,1353.85
SULAWESI SELATAN,3246.42,3639.63,4156.49,4339.22,4479.46,5172.5,5472.48,5945.56,5977.48,6597.87
SULAWESI TENGGARA,441.08,528.42,621.64,670.71,703.59,850.7,911.73,986.89,1063.52,1149.84
GORONTALO,236.52,293.13,328.4,366.08,398.82,460.13,503.49,543.84,601.58,638.71
SULAWESI BARAT,151.52,177.63,207.59,238.03,258.7,312.89,345.28,380.08,423.96,439.49
MALUKU,336.69,397.49,469.96,480.08,509.51,463.05,597.37,519.13,548.12,582.88
MALUKU UTARA,204.67,235.88,259.1,309.37,329.44,237.12,401.48,537.52,591.34,637.04
PAPUA BARAT,305.08,346.65,383.99,430.63,455.58,533.47,569.02,510.01,547.46,583.21
PAPUA,522.8,600.67,713.26,724.78,763.32,868.01,916.96,1057.65,1132.40,1237.64
INDONESIA,158694.89,174341.92,188342.41,199028.08,204279.97,226014.06,239012.04,247653.33,241405.61,257634.26
