Province,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021
ACEH,1579.77,1755.06,1815.04,1965.55,2119,2409.11,2587.71,542.64,421.51,3001.78
SUMATERA UTARA,7194.03,7809.32,7917.24,8271.01,8703.67,9671.48,10445.02,20764.57,20667.17,12985.88
SUMATERA BARAT,2403.1,2649.08,2712.85,3005.26,3063.28,3415.29,3496.18,839.91,948.92,4396.18
RIAU,2361.15,2723.81,3597.44,3338.33,3586.45,4069.93,4377.21,852.32,716.38,5389.06
JAMBI,1054.17,860.39,955.66,1037.45,1083.79,1176.09,1219.01,122.81,85.54,730
SUMATERA SELATAN,2978.86,3863.12,4162.09,4477.49,4783.02,5239.35,5501.26,16127.75,16849.8,11019.15
BENGKULU,493.95,566.95,641.52,729.64,785.43,852.84,907.45,152.12,158.67,2689.06
LAMPUNG,2425.94,2793.36,3182.21,3392.44,3571,3998.3,4257.15,40.91,41.55,5436.19
KEP. BANGKA BELITUNG,535.61,664.72,721.24,805.43,861.52,979.19,1066.35,1076.84,830.12,1498.09
KEP. RIAU,2010.3,2190.04,2421.92,2618.48,2694.79,2823.17,2990.44,3159.62,3196.39,3380.7
DKI JAKARTA,35061.38,38168.75,39937.28,41269.03,41328.6,31643.13,32779.19,16222.44,15970.27,18177.98
JAWA BARAT,34053.6,36655.28,39092.56,43096.46,44071.43,50791.2,52878.86,42686.15,41063.3,34017.57
JAWA TENGAH,15315.89,16600.42,18205.08,19631.46,20408.19,21057.04,23558.02,42131.6,41715.18,46065.26
DI YOGYAKARTA,1869.77,2043.75,2205.79,2369.6,2484.16,2724.49,2856.95,0,-,3.32
JAWA TIMUR,24018.69,26910.18,28708.11,30523.98,30824.81,34114.16,35817.9,56831.86,57546.18,49222.99
BANTEN,7955.54,8457.8,9750.37,8562.97,8575.1,22557.53,23736.3,49148.33,44485.27,53324.28
BALI,3223.94,3546.6,3914.32,4335.03,4594.18,5069.64,5247.16,4066.01,4728.36,3864.03
NUSA TENGGARA BARAT,837.17,976.39,1133.33,1291.47,1402.3,1677.54,1776.81,2062.01,2345.16,2541.46
NUSA TENGGARA TIMUR,486.91,567.32,639.57,702.26,749.76,855.25,927.41,685.71,954.03,1311.55
KALIMANTAN BARAT,1434.72,1603.72,1889.39,1862.44,1989.63,2252.06,2373.12,676.1,234.34,3416.87
KALIMANTAN TENGAH,649.95,752.34,854.78,970.16,1048.64,1134.95,1223.79,252.06,49.85,2627.62
KALIMANTAN SELATAN,1467.13,1688.44,1880.66,2092.23,2187.64,2391.87,2602.39,6516.25,7044.68,2882.67
KALIMANTAN TIMUR,2277.22,2502.32,2731.58,2815.55,3007.3,3418.33,3637.27,2735.56,1944.98,3908.24
KALIMANTAN UTARA,-,-,180.73,199.37,206.5,180.59,183.32,306.1,261.92,619.17
SULAWESI UTARA,986.62,1087.08,1192.52,1240.32,1302.58,1544.87,1676.89,918.89,908.75,2398.33
SULAWESI TENGAH,574.71,686.19,758.7,865.77,948.78,1068.79,1171.08,1670.77,1414.47,1814.04
SULAWESI SELATAN,3246.42,3639.63,4156.49,4339.22,4479.46,5172.5,5472.48,7409.22,8439.27,7344.21
SULAWESI TENGGARA,441.08,528.42,621.64,670.71,703.59,850.7,911.73,94.27,25.73,1181.79
GORONTALO,236.52,293.13,328.4,366.08,398.82,460.13,503.49,109.86,96.53,592.68
SULAWESI BARAT,151.52,177.63,207.59,238.03,258.7,312.89,345.28,2.7,0,249.45
MALUKU,336.69,397.49,469.96,480.08,509.51,463.05,597.37,617.38,742.73,969.89
MALUKU UTARA,204.67,235.88,259.1,309.37,329.44,237.12,401.48,177.4,126.03,377.04
PAPUA BARAT,305.08,346.65,383.99,430.63,455.58,533.47,569.02,537.47,1064.2,677.34
PAPUA,522.8,600.67,713.26,724.78,763.32,868.01,916.96,1077.44,522.52,1360.61
INDONESIA,158694.89,174341.92,188342.41,199028.08,204279.97,226014.06,239012.04,280615.09,275599.8,289474.49
