Province,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACEH,9,9.06,10.12,9.02,9.93,7.57,6.57,6.34,6.17,6.59,6.30,6.17
SUMATERA UTARA,8.18,6.28,6.45,6.23,6.71,5.84,5.6,5.55,5.39,6.91,6.33,6.16
SUMATERA BARAT,8.02,6.65,7.02,6.5,6.89,5.09,5.58,5.66,5.38,6.88,6.52,6.28
RIAU,6.09,4.37,5.48,6.56,7.83,7.43,6.22,5.98,5.76,6.32,4.42,4.37
JAMBI,4.63,3.2,4.76,5.08,4.34,4,3.87,3.73,4.06,5.13,5.09,4.59
SUMATERA SELATAN,6.6,5.66,4.84,4.96,6.07,4.31,4.39,4.27,4.53,5.51,4.98,4.63
BENGKULU,3.46,3.62,4.61,3.47,4.91,3.3,3.74,3.35,3.26,4.07,3.65,3.59
LAMPUNG,6.38,5.2,5.69,4.79,5.14,4.62,4.33,4.04,4.03,4.67,4.69,4.52
KEP. BANGKA BELITUNG,3.86,3.43,3.65,5.14,6.29,2.6,3.78,3.61,3.58,5.25,5.03,4.77
KEP. RIAU,5.38,5.08,5.63,6.69,6.2,7.69,7.16,8.04,7.50,10.34,9.91,8.23
DKI JAKARTA,11.69,9.67,8.63,8.47,7.23,6.12,7.14,6.65,6.54,10.95,8.50,7.18
JAWA BARAT,9.96,9.08,9.16,8.45,8.72,8.89,8.22,8.23,8.04,10.46,9.82,8.31
JAWA TENGAH,7.07,5.61,6.01,5.68,4.99,4.63,4.57,4.47,4.44,6.48,5.95,5.57
DI YOGYAKARTA,4.39,3.9,3.24,3.33,4.07,2.72,3.02,3.37,3.18,4.57,4.56,4.06
JAWA TIMUR,5.38,4.11,4.3,4.19,4.47,4.21,4,3.91,3.82,5.84,5.74,5.49
BANTEN,13.74,9.94,9.54,9.07,9.55,8.92,9.28,8.47,8.11,10.64,8.98,8.09
BALI,2.95,2.1,1.83,1.9,1.99,1.89,1.48,1.40,1.57,5.63,5.37,4.80
NUSA TENGGARA BARAT,5.25,5.23,5.3,5.75,5.69,3.94,3.32,3.58,3.28,4.22,3.01,2.89
NUSA TENGGARA TIMUR,3.11,3.04,3.25,3.26,3.83,3.25,3.27,2.85,3.14,4.28,3.77,3.54
KALIMANTAN BARAT,4.6,3.54,3.99,4.04,5.15,4.23,4.36,4.18,4.35,5.81,5.82,5.11
KALIMANTAN TENGAH,3.54,3.14,3,3.24,4.54,4.82,4.23,3.91,4.04,4.58,4.53,4.26
KALIMANTAN SELATAN,6.29,5.19,3.66,3.8,4.92,5.45,4.77,4.35,4.18,4.74,4.95,4.74
KALIMANTAN TIMUR,11.43,9.02,7.95,7.38,7.5,7.95,6.91,6.41,5.94,6.87,6.83,5.71
KALIMANTAN UTARA,-,-,-,-,5.68,5.23,5.54,5.11,4.49,4.97,4.58,4.33
SULAWESI UTARA,10.1,7.98,6.79,7.54,9.03,6.18,7.18,6.61,6.01,7.37,7.06,6.61
SULAWESI TENGAH,6.78,3.95,4.19,3.68,4.1,3.29,3.81,3.37,3.11,3.77,3.75,3.00
SULAWESI SELATAN,8.13,6.01,5.1,5.08,5.95,4.8,5.61,4.94,4.62,6.31,5.72,4.51
SULAWESI TENGGARA,4.69,4.14,4.38,4.43,5.55,2.72,3.3,3.19,3.52,4.58,3.92,3.36
GORONTALO,6.74,4.47,4.15,4.18,4.65,2.76,4.28,3.70,3.76,4.28,3.01,2.58
SULAWESI BARAT,3.35,2.16,2.35,2.08,3.35,3.33,3.21,3.01,2.98,3.32,3.13,2.34
MALUKU,10.81,7.71,9.91,10.51,9.93,7.05,9.29,6.95,6.69,7.57,6.93,6.88
MALUKU UTARA,5.34,4.82,3.8,5.29,6.05,4.01,5.33,4.63,4.81,5.15,4.71,3.98
PAPUA BARAT,6.73,5.42,4.4,5.02,8.08,7.46,6.49,6.45,6.43,6.80,5.84,5.37
PAPUA,5.02,3.71,3.15,3.44,3.99,3.35,3.62,3.00,3.51,4.28,3.33,2.83
INDONESIA,7.48,6.13,6.17,5.94,6.18,5.61,5.5,5.30,5.23,7.07,6.49,5.86
,,,,,,,,,,,,
"Data 2011-2013 menggunakan Backcast dari Penimbang Proyeksi Komponen                    
Data 2018-2020 menggunakan Backcast dari Penimbang berbasis SUPAS 2015                    
1986-1998, penghitungan tanpa data Provinsi Timor Timor                    
Pada tahun 1995, Sakernas tidak dilaksanakan                    
Pada tahun 2000, tanpa Maluku                    
Sumber: Survei Angkatan Kerja Nasional (Sakernas)                    




",,,,,,,,,,,,
Source Url: https://www.bps.go.id/indicator/6/543/1/tingkat-pengangguran-terbuka-menurut-provinsi.html,,,,,,,,,,,,
"Access Time: October 27, 2023, 5:16 am",,,,,,,,,,,,
