Province,boy,2009,girl,boy,2010,girl,boy,2011,girl,boy,2012,girl,boy,2013,girl,boy,2014,girl,boy,2015,girl,boy,2016,girl,boy,2017,girl,boy,2018,girl,boy,2019,girl,boy,2020,girl,boy,2021,girl,boy,2022,girl
Aceh,32.86,35.22,37.57,33.22,35.09,36.95,29.13,30.62,32.11,28.82,30.72,32.61,27.42,28.94,30.46,29.13,30.54,31.96,25.51,27.91,30.32,23.70,25.77,27.85,23.03,24.85,26.68,27.59,30.17,32.76,27.24,29.33,31.42,24.84,27.12,29.40,22.65,25.16,27.66,28.60,31.63,34.66
Sumatera Utara,28.77,29.11,29.44,26.07,26.69,27.30,25.56,25.44,25.32,19.54,20.55,21.55,20.73,21.30,21.88,23.23,23.54,23.86,22.15,23.04,23.92,21.72,22.88,24.04,22.39,23.50,24.62,23.59,24.86,26.13,24.52,26.28,28.03,24.64,26.12,27.59,18.99,20.45,21.92,27.42,29.79,32.17
Sumatera Barat,35.44,35.44,35.44,32.82,33.26,33.70,28.59,29.30,30.00,29.29,29.97,30.64,28.20,29.42,30.64,31.15,31.79,32.43,27.48,28.91,30.34,28.53,29.38,30.22,27.34,28.80,30.27,27.14,29.36,31.58,27.90,29.83,31.75,28.65,31.08,33.52,22.70,24.51,26.31,25.92,28.31,30.69
Riau,29.77,29.89,30.01,30.39,30.92,31.45,24.73,24.84,24.95,23.79,24.42,25.05,23.83,24.05,24.26,25.31,26.22,27.12,28.66,29.73,30.81,27.07,27.91,28.75,25.78,27.32,28.86,28.73,29.64,30.54,25.13,26.47,27.81,23.60,24.69,25.78,22.19,22.80,23.40,26.05,27.19,28.33
Jambi,26.61,26.45,26.28,29.61,29.63,29.64,22.03,22.79,23.55,20.85,21.31,21.76,19.88,20.68,21.47,21.72,21.91,22.11,23.32,24.47,25.62,23.04,23.69,24.35,20.42,20.63,20.84,21.36,22.44,23.51,20.61,21.43,22.26,20.44,21.66,22.87,15.73,16.85,17.96,24.81,26.10,27.40
Sumatera Selatan,31.95,32.24,32.53,29.79,29.68,29.56,26.81,27.20,27.59,24.02,24.90,25.78,24.22,24.42,24.62,26.11,26.76,27.42,28.72,29.42,30.12,25.91,26.64,27.37,26.07,26.83,27.59,26.81,28.60,30.38,29.89,30.92,31.95,27.93,29.34,30.75,26.78,27.93,29.08,30.70,32.32,33.94
Bengkulu,31.36,31.54,31.71,34.03,33.74,33.44,30.63,30.73,30.83,28.11,28.63,29.14,27.35,28.04,28.72,30.07,29.95,29.84,27.32,27.98,28.63,27.65,27.66,27.67,23.50,24.85,26.21,25.81,27.10,28.39,28.53,29.75,30.96,28.88,30.26,31.64,25.86,26.65,27.44,26.15,27.11,28.07
Lampung,37.24,37.46,37.67,34.75,34.65,34.55,30.07,30.61,31.14,30.58,31.71,32.83,28.86,28.94,29.01,28.23,28.64,29.04,30.41,31.45,32.49,26.02,27.43,28.84,27.45,28.55,29.64,29.43,30.69,31.94,33.71,35.36,37.01,29.68,31.39,33.10,27.38,28.46,29.54,30.65,32.71,34.76
Kepulauan Bangka Belitung,42.23,43.03,43.83,32.25,34.04,35.82,31.50,31.24,30.97,27.57,28.77,29.96,26.58,27.28,27.97,25.45,26.30,27.16,29.30,30.46,31.62,29.26,31.41,33.57,26.02,27.77,29.52,26.88,29.24,31.60,30.85,32.84,34.83,28.99,31.34,33.69,25.69,26.17,26.65,33.20,35.45,37.69
Kepulauan Riau,35.69,37.18,38.66,28.06,28.04,28.01,20.38,21.34,22.29,26.49,27.37,28.24,24.52,24.36,24.21,23.24,22.81,22.38,21.07,21.28,21.50,21.51,22.18,22.86,20.36,21.48,22.61,21.43,22.42,23.40,19.45,21.41,23.36,16.61,18.24,19.87,13.80,14.73,15.66,17.44,18.39,19.34
DKI Jakarta,36.19,36.75,37.30,33.26,33.81,34.36,32.41,32.70,32.98,31.64,32.94,34.24,28.87,29.75,30.64,29.70,30.46,31.21,32.51,33.40,34.28,28.62,30.46,32.31,26.66,27.05,27.44,26.92,28.83,30.75,27.43,29.29,31.15,31.85,33.80,35.75,25.35,25.98,26.61,14.66,16.11,17.55
Jawa Barat,32.27,32.25,32.22,27.83,28.01,28.18,28.32,28.95,29.57,27.68,28.47,29.25,27.09,27.80,28.52,27.87,28.24,28.61,27.22,28.12,29.02,27.22,28.34,29.46,28.30,29.27,30.24,29.49,31.05,32.62,31.05,33.12,35.20,30.46,32.06,33.66,29.13,29.75,30.37,29.32,31.24,33.17
Jawa Tengah,31.72,32.49,33.25,27.61,28.71,29.80,29.08,30.15,31.21,30.79,31.54,32.28,31.13,31.92,32.71,31.97,32.91,33.85,34.61,35.52,36.42,32.38,33.38,34.38,31.31,32.71,34.11,32.36,34.34,36.32,34.75,36.82,38.89,33.84,35.62,37.39,28.79,29.80,30.80,32.31,35.03,37.75
DI Yogyakarta,40.74,41.31,41.87,39.46,40.12,40.77,37.48,37.51,37.54,35.36,36.36,37.36,35.40,36.63,37.86,42.26,42.28,42.30,38.93,39.58,40.22,34.50,35.96,37.42,30.82,32.89,34.95,34.11,35.30,36.50,33.66,35.66,37.65,35.82,38.05,40.27,29.51,30.20,30.88,32.98,35.78,38.59
Jawa Timur,31.53,32.05,32.57,27.88,28.46,29.03,26.75,27.20,27.64,25.63,26.91,28.19,26.78,27.57,28.35,29.55,30.20,30.86,32.32,33.43,34.54,28.55,29.86,31.17,30.17,31.46,32.75,32.29,33.78,35.28,34.26,35.57,36.89,31.29,32.79,34.28,27.35,28.54,29.72,30.23,32.05,33.88
Banten,37.04,37.74,38.43,32.52,33.03,33.53,33.34,34.04,34.73,29.21,30.43,31.64,28.57,29.09,29.62,28.83,29.49,30.15,29.42,30.36,31.30,27.89,28.31,28.74,26.31,27.53,28.76,30.87,32.44,34.02,32.55,34.33,36.11,30.08,32.26,34.45,27.66,28.43,29.19,21.73,23.65,25.58
Bali,37.92,38.35,38.77,39.50,40.13,40.76,36.78,37.10,37.42,34.78,35.54,36.30,34.28,34.89,35.49,35.47,36.24,37.02,34.65,35.30,35.94,30.80,31.19,31.57,27.92,28.91,29.89,29.01,30.33,31.66,28.17,28.53,28.89,24.94,25.49,26.03,23.23,23.63,24.02,19.14,20.03,20.92
Nusa Tenggara Barat,38.98,39.56,40.14,37.70,38.10,38.49,34.29,34.73,35.17,33.99,34.03,34.07,33.67,34.67,35.68,36.04,37.10,38.17,33.99,34.84,35.69,33.89,34.62,35.35,28.82,30.83,32.84,36.65,38.57,40.49,43.98,44.38,44.78,41.96,43.95,45.93,39.87,42.12,44.36,41.98,44.10,46.21
Nusa Tenggara Timur,46.13,47.22,48.31,43.75,44.95,46.14,38.26,39.79,41.32,36.31,37.74,39.17,34.16,35.66,37.16,32.43,33.83,35.23,35.93,37.02,38.10,30.21,31.79,33.37,33.08,34.84,36.59,36.05,37.69,39.33,38.40,40.37,42.35,33.01,34.43,35.85,28.16,30.12,32.09,28.35,30.30,32.25
Kalimantan Barat,32.15,33.02,33.88,33.46,34.41,35.36,25.96,27.80,29.64,23.77,25.59,27.40,23.07,24.54,26.01,25.08,26.56,28.04,24.17,25.65,27.13,23.82,24.95,26.09,23.64,24.52,25.39,27.38,28.71,30.04,26.37,27.54,28.71,24.30,25.86,27.43,19.86,21.34,22.83,24.15,25.22,26.30
Kalimantan Tengah,27.43,28.05,28.67,30.74,31.04,31.34,25.67,26.17,26.67,23.69,25.06,26.43,23.45,23.92,24.38,26.33,26.58,26.84,24.14,25.45,26.75,24.38,25.52,26.67,24.71,25.75,26.79,26.67,28.24,29.81,25.88,27.20,28.52,24.82,26.52,28.22,22.29,22.58,22.88,23.00,24.55,26.10
Kalimantan Selatan,41.62,42.51,43.40,35.75,36.88,38.00,33.32,34.19,35.05,32.27,33.60,34.92,32.98,33.37,33.75,34.01,34.80,35.58,38.21,39.29,40.36,32.84,34.37,35.90,32.03,33.47,34.91,31.32,33.28,35.25,32.99,35.10,37.21,32.88,34.91,36.94,30.34,32.03,33.73,28.76,31.53,34.31
Kalimantan Timur,27.96,28.91,29.86,29.34,30.36,31.38,21.96,22.49,23.01,21.58,22.37,23.16,18.76,19.10,19.45,20.50,21.26,22.02,20.78,22.04,23.30,21.03,21.79,22.56,23.16,23.96,24.77,26.13,27.89,29.66,24.88,27.40,29.91,21.52,22.71,23.89,20.82,21.33,21.85,24.67,26.72,28.78
Kalimantan Utara,-,#DIV/0!,-,-,#DIV/0!,-,-,#DIV/0!,-,-,#DIV/0!,-,-,#DIV/0!,-,-,#DIV/0!,-,22.50,23.73,24.95,20.99,22.48,23.96,27.84,28.45,29.05,29.30,31.21,33.11,26.31,27.94,29.56,23.93,26.17,28.41,24.76,25.20,25.65,34.66,35.59,36.53
Sulawesi Utara,35.34,35.79,36.23,32.26,32.55,32.84,26.51,26.04,25.57,27.33,28.00,28.67,23.66,23.94,24.22,26.25,26.38,26.51,26.94,27.32,27.70,25.59,25.80,26.00,26.08,26.69,27.29,27.95,29.03,30.12,27.91,28.87,29.83,23.69,25.01,26.33,21.24,22.11,22.97,22.73,23.51,24.30
Sulawesi Tengah,36.93,37.62,38.31,38.72,39.06,39.39,33.70,34.03,34.36,29.69,30.32,30.95,30.07,30.21,30.35,29.77,30.49,31.21,28.19,29.23,30.26,25.83,26.14,26.46,28.66,29.82,30.99,29.77,31.48,33.18,30.56,32.36,34.16,24.93,26.19,27.45,24.73,25.73,26.73,21.84,22.79,23.75
Sulawesi Selatan,31.22,31.67,32.12,29.80,30.62,31.44,26.94,27.50,28.06,24.74,25.54,26.34,23.53,24.03,24.52,24.31,24.77,25.23,25.70,26.29,26.88,22.60,23.56,24.52,23.38,24.67,25.96,27.94,29.29,30.64,28.52,30.08,31.64,27.14,28.87,30.60,26.44,28.00,29.56,31.38,33.69,36.01
Sulawesi Tenggara,34.39,35.89,37.38,35.52,35.77,36.02,26.11,26.93,27.75,27.71,29.43,31.15,26.53,28.03,29.54,27.61,28.94,30.27,25.03,25.87,26.70,26.23,26.84,27.45,23.28,24.10,24.91,25.80,27.82,29.84,27.06,28.49,29.92,27.98,29.24,30.51,24.51,25.80,27.09,29.23,31.27,33.32
Gorontalo,48.33,48.49,48.64,42.75,42.65,42.55,41.18,40.82,40.45,38.20,37.44,36.67,37.12,36.83,36.53,36.81,36.79,36.77,37.15,37.43,37.72,33.01,33.69,34.37,33.88,34.43,34.99,35.89,36.95,38.01,35.51,36.97,38.44,29.76,32.20,34.63,28.93,31.06,33.19,33.84,36.55,39.26
Sulawesi Barat,37.58,38.09,38.59,35.73,35.86,35.98,33.27,33.71,34.14,32.15,33.62,35.08,30.12,30.71,31.31,29.75,31.49,33.22,28.75,29.61,30.46,25.95,26.74,27.52,24.85,25.75,26.65,28.73,29.47,30.22,26.10,26.77,27.44,24.72,26.30,27.87,24.38,25.87,27.36,28.29,30.94,33.60
Maluku,35.10,36.32,37.54,31.36,31.93,32.50,25.23,26.80,28.36,20.84,22.05,23.26,20.32,20.82,21.32,19.70,20.10,20.51,16.97,17.60,18.23,16.97,17.68,18.39,18.00,19.10,20.19,19.34,20.00,20.66,18.09,19.38,20.67,16.75,18.58,20.41,14.74,16.44,18.14,13.56,15.25,16.94
