Province,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACEH,79.02,78.71,79.86,80.33,82.36,81.66,80.42,81.21,80.32,80.96,80.51,83.32
SUMATERA UTARA,66.07,68.79,68.23,68.5,71.09,69.95,67.53,68.32,68.35,69.16,67.57,70.04
SUMATERA BARAT,69.51,70.46,70.51,69.27,74.13,72.89,70.58,71.21,70.75,71.24,68.34,72.45
RIAU,68.42,68.8,70.17,68.09,71.56,71.53,68.15,69.90,70.55,69.78,72.52,76.52
JAMBI,78.02,78.84,79.93,80.38,83.94,84.13,81.39,83.64,82.26,84.32,84.21,86.21
SUMATERA SELATAN,77.37,80.94,79.95,80.43,83.02,83.09,80.60,80.65,81.52,81.76,81.32,84.00
BENGKULU,79.15,80.56,81.25,80.64,85.52,84.27,80.83,83.39,82.72,83.56,84.32,87.46
LAMPUNG,86.64,86.5,87.62,88.3,90.35,90.71,86.36,87.89,88.60,88.39,89.40,91.81
KEP. BANGKA BELITUNG,81.71,85.1,84.26,84.31,87.85,87.59,83.75,85.91,85.51,85.33,83.14,88.39
KEP. RIAU,64.33,66.78,64.73,67.91,67.67,68.99,65.70,69.44,66.62,66.37,66.83,69.39
DKI JAKARTA,47.95,56.59,47.26,47.76,51.09,50.16,48.33,47.85,47.12,45.04,48.48,56.13
JAWA BARAT,78.39,78.99,78.87,78.54,80.63,81.58,76.83,77.71,77.89,77.60,79.63,82.61
JAWA TENGAH,87.98,88.95,88.14,88.06,90.93,90.77,88.01,88.17,89.04,89.20,89.92,90.98
DI YOGYAKARTA,75.7,76.83,76.88,74.97,76.99,77.4,75.26,76.54,73.29,74.55,76.53,85.50
JAWA TIMUR,86.85,88.56,87.66,87.14,90.46,90.76,87.55,87.46,87.58,87.12,88.80,90.87
BANTEN,76.2,78.05,77.48,77.96,80.94,81.52,81.38,81.33,80.36,82.26,82.82,84.98
BALI,70.3,76.17,72.36,69.8,77.31,74.05,70.54,71.75,72.88,71.17,73.92,83.56
NUSA TENGGARA BARAT,85.77,85.62,87.1,85.29,87.85,88.3,85.66,85.48,87.15,87.43,87.36,90.74
NUSA TENGGARA TIMUR,86.56,86.3,87.43,86.33,88.52,88.53,86.50,85.91,86.88,87.39,85.22,89.59
KALIMANTAN BARAT,85.3,87.87,88.81,87.53,90.07,89.06,87.99,88.84,88.52,88.83,88.21,90.79
KALIMANTAN TENGAH,75.97,77.87,74.1,73.51,77.99,75.74,76.80,75.24,75.58,78.35,77.04,80.92
KALIMANTAN SELATAN,74.67,76.08,76.41,74.39,79.22,79.84,77.30,76.77,76.33,77.58,79.83,81.20
KALIMANTAN TIMUR,66.18,71.35,68.1,68.91,72.69,71.12,68.87,70.31,69.13,68.83,70.76,74.05
KALIMANTAN UTARA,-,-,-,-,74.77,70.02,69.72,67.23,72.06,73.77,69.60,74.33
SULAWESI UTARA,73.47,75.4,76.12,74.6,80.44,79.77,76.79,77.65,77.27,78.67,77.37,79.12
SULAWESI TENGAH,83.31,85.84,83.91,84.66,87.14,85.37,83.70,84.32,84.31,84.32,84.46,88.32
SULAWESI SELATAN,82.73,83.53,83.84,83.82,86.85,85.72,82.75,83.61,83.69,83.40,84.75,87.40
SULAWESI TENGGARA,84.72,85.1,85.42,86.32,86.47,86.37,84.78,84.43,85.28,86.14,86.33,89.74
GORONTALO,78.38,81.2,80.71,79.24,81.66,82.93,80.45,79.48,80.64,80.18,81.16,84.81
SULAWESI BARAT,86.37,88.05,88.71,89,91.47,90.99,88.98,86.85,86.80,87.56,89.72,92.51
MALUKU,79.39,81.81,79.53,79.84,81.51,80.48,80.15,80.09,79.48,79.00,75.13,83.05
MALUKU UTARA,84.77,85.5,85.88,86.13,87.84,87.65,86.83,83.87,82.73,83.65,83.40,89.41
PAPUA BARAT,66.63,68.37,73.01,70.88,74.57,72.5,72.06,69.19,71.27,72.09,76.03,81.80
PAPUA,80.57,82.59,81.9,81.7,81.69,85.16,81.00,81.36,82.12,83.05,83.20,86.38
INDONESIA,79.22,80.89,80.08,79.77,82.63,82.58,79.61,80.02,80.07,80.10,81.08,83.99
,,,,,,,,,,,,
"


a. Pada tahun 2000 pencacahan Susenas tidak dilakukan di Provinsi NAD (Aceh) dan Maluku b. Pada tahun 2001 pencacahan Susenas tidak dilakukan di Provinsi NAD (Aceh) c. Untuk Provinsi Aceh, Maluku, Maluku Utara, dan Papua, pencacahan Susenas tahun 2002 hanya dilakukan di ibu kota provinsi d. Pencacahan Susenas 2005 di Provinsi Aceh dilakukan pada waktu yang berbeda (Januari.2006) Sumber: BPS-RI, Susenas 1999-2016



",,,,,,,,,,,,
Source Url: https://www.bps.go.id/indicator/29/849/1/persentase-rumah-tangga-menurut-provinsi-dan-status-kepemilikan-rumah-milik-sendiri.html,,,,,,,,,,,,
"Access Time: October 27, 2023, 4:43 am",,,,,,,,,,,,
