Province,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aceh,57 956.00,57 956.00,57 956.00,57 956.00,57 956.00,57 956.00,57 956.00,57 956.00,57 956.00,57 956.00,57 956.00
Sumatera Utara,72 981.23,72 981.23,72 981.23,72 981.23,72 981.23,72 981.23,72 981.23,72 981.23,72 981.23,72 981.23,72 981.23
Sumatera Barat,42 012.89,42 012.89,42 012.89,42 012.89,42 012.89,42 012.89,42 012.89,42 012.89,42 012.89,42 012.89,42 012.89
Riau,87 023.66,87 023.66,87 023.66,87 023.66,87 023.66,87 023.66,87 023.66,87 023.66,87 023.66,87 023.66,87 023.66
Kepulauan Riau,8 201.72,8 201.72,8 201.72,8 201.72,8 201.72,8 201.72,8 201.72,8 201.72,8 201.72,8 201.72,8 201.72
Jambi,50 058.16,50 058.16,50 058.16,50 058.16,50 058.16,50 058.16,50 058.16,50 058.16,50 058.16,50 058.16,50 058.16
Sumatera Selatan,91 592.43,91 592.43,91 592.43,91 592.43,91 592.43,91 592.43,91 592.43,91 592.43,91 592.43,91 592.43,91 592.43
Kepulauan Bangka Belitung,16 424.06,16 424.06,16 424.06,16 424.06,16 424.06,16 424.06,16 424.06,16 424.06,16 424.06,16 424.06,16 424.06
Bengkulu,19 919.33,19 919.33,19 919.33,19 919.33,19 919.33,19 919.33,19 919.33,19 919.33,19 919.33,19 919.33,19 919.33
Lampung,34 623.80,34 623.80,34 623.80,34 623.80,34 623.80,34 623.80,34 623.80,34 623.80,34 623.80,34 623.80,34 623.80
DKI Jakarta,664.01,664.01,664.01,664.01,664.01,664.01,664.01,664.01,664.01,664.01,664.01
Jawa Barat,35 377.76,35 377.76,35 377.76,35 377.76,35 377.76,35 377.76,35 377.76,35 377.76,35 377.76,35 377.76,35 377.76
Banten,9 662.92,9 662.92,9 662.92,9 662.92,9 662.92,9 662.92,9 662.92,9 662.92,9 662.92,9 662.92,9 662.92
Jawa Tengah,32 800.69,32 800.69,32 800.69,32 800.69,32 800.69,32 800.69,32 800.69,32 800.69,32 800.69,32 800.69,32 800.69
DI Yogyakarta,3 133.15,3 133.15,3 133.15,3 133.15,3 133.15,3 133.15,3 133.15,3 133.15,3 133.15,3 133.15,3 133.15
Jawa Timur,47 799.75,47 799.75,47 799.75,47 799.75,47 799.75,47 799.75,47 799.75,47 799.75,47 799.75,47 799.75,47 799.75
Bali,5 780.06,5 780.06,5 780.06,5 780.06,5 780.06,5 780.06,5 780.06,5 780.06,5 780.06,5 780.06,5 780.06
Nusa Tenggara Barat,18 572.32,18 572.32,18 572.32,18 572.32,18 572.32,18 572.32,18 572.32,18 572.32,18 572.32,18 572.32,18 572.32
Nusa Tenggara Timur,48 718.10,48 718.10,48 718.10,48 718.10,48 718.10,48 718.10,48 718.10,48 718.10,48 718.10,48 718.10,48 718.10
Kalimantan Barat,147 307.00,147 307.00,147 307.00,147 307.00,147 307.00,147 307.00,147 307.00,147 307.00,147 307.00,147 307.00,147 307.00
Kalimantan Tengah,153 564.50,153 564.50,153 564.50,153 564.50,153 564.50,153 564.50,153 564.50,153 564.50,153 564.50,153 564.50,153 564.50
Kalimantan Selatan,38 744.23,38 744.23,38 744.23,38 744.23,38 744.23,38 744.23,38 744.23,38 744.23,38 744.23,38 744.23,38 744.23
Kalimantan Timur,204 534.34,204 534.34,129 066.64,129 066.64,129 066.64,129 066.64,129 066.64,129 066.64,129 066.64,129 066.64,129 066.64
Kalimantan Utara,75 467.70,75 467.70,75 467.70,75 467.70,75 467.70,75 467.70,75 467.70,75 467.70,75 467.70,75 467.70,75 467.70
Sulawesi Utara,13 851.64,13 851.64,13 851.64,13 851.64,13 851.64,13 851.64,13 851.64,13 851.64,13 851.64,13 851.64,13 851.64
Gorontalo,11 257.07,11 257.07,11 257.07,11 257.07,11 257.07,11 257.07,11 257.07,11 257.07,11 257.07,11 257.07,11 257.07
Sulawesi Tengah,61 841.29,61 841.29,61 841.29,61 841.29,61 841.29,61 841.29,61 841.29,61 841.29,61 841.29,61 841.29,61 841.29
Sulawesi Selatan,46 717.48,46 717.48,46 717.48,46 717.48,46 717.48,46 717.48,46 717.48,46 717.48,46 717.48,46 717.48,46 717.48
Sulawesi Barat,16 787.18,16 787.18,16 787.18,16 787.18,16 787.18,16 787.18,16 787.18,16 787.18,16 787.18,16 787.18,16 787.18
Sulawesi Tenggara,38 067.70,38 067.70,38 067.70,38 067.70,38 067.70,38 067.70,38 067.70,38 067.70,38 067.70,38 067.70,38 067.70
Maluku,46 914.03,46 914.03,46 914.03,46 914.03,46 914.03,46 914.03,46 914.03,46 914.03,46 914.03,46 914.03,46 914.03
Maluku Utara,31 982.50,31 982.50,31 982.50,31 982.50,31 982.50,31 982.50,31 982.50,31 982.50,31 982.50,31 982.50,31 982.50
Papua,319 036.05,319 036.05,319 036.05,319 036.05,319 036.05,319 036.05,319 036.05,319 036.05,319 036.05,319 036.05,319 036.05
Papua Barat,97 024.27,97 024.27,97 024.27,97 024.27,99 671.63,99 671.63,99 671.63,99 671.63,99 671.63,99 671.63,99 671.63
Indonesia,1 910 931.32,1 910 931.32,1 910 931.32,1 910 931.32,1 913 578.68,1 913 578.68,1 913 578.68,1 913 578.68,1 913 578.68,1 913 578.68,1 913 578.68
