Province,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aceh,4619,4715,4811,4907,5002,5096,5190,5243.4,5316.3,5274.9,5333.7,5407.9
Sumatera Utara,13220,13408,13590,13767,13938,14103,14262,14476.0,14639.4,14799.4,14936.2,15115.2
Sumatera Barat,4933,5000,5066,5132,5196,5260,5322,5411.8,5479.5,5534.5,5580.2,5640.6
Riau,5726,5879,6033,6188,6344,6501,6658,6717.6,6835.1,6394.1,6493.6,6614.4
Kep. Riau,3168,3227,3286,3344,3402,3459,3515,2174.8,2241.6,2064.6,2118.2,2179.8
Jambi,7599,7714,7829,7942,8052,8161,8267,3527.1,3566.2,3548.2,3585.1,3631.1
Sumatera Selatan,1753,1784,1814,1845,1875,1905,1934,8391.5,8497.2,8467.4,8550.9,8657.0
Kep. Bangka Belitung,7735,7835,7932,8026,8117,8205,8290,1432.1,1451.1,1455.7,1473.2,1494.6
Bengkulu,1258,1287,1315,1344,1373,1402,1431,1948.6,1971.8,2010.7,2032.9,2060.1
Lampung,1748,1805,1861,1917,1973,2028,2083,8377.7,8457.6,9007.8,9081.8,9176.6
DKI Jakarta,9752,9862,9970,10075,10178,10278,10374,10428.0,10504.1,10562.1,10609.7,10680.0
Jawa Barat,43929,44634,45341,46030,46710,47379,48038,48475.5,49023.2,48274.2,48782.4,49405.8
Banten,32725,32999,33264,33523,33774,34019,34258,12530.8,12714.3,11904.6,12061.5,12252.0
Jawa Tengah,3510,3552,3595,3637,3679,3721,3762,34358.5,34552.5,36516.0,36742.5,37032.4
DI Yogyakarta,37841,38107,38363,38610,38848,39075,39293,3818.3,3868.6,3668.7,3712.9,3761.9
Jawa Timur,10944,11199,11452,11705,11955,12203,12448,39521.9,39744.8,40665.7,40878.8,41150.0
Kalimantan Barat,3958,4007,4056,4105,4153,4200,4247,4985.1,5045.7,5414.4,5470.8,5541.4
Kalimantan Tengah,4582,4647,4711,4774,4836,4896,4956,2612.6,2649.8,2670.0,2702.2,2741.1
Kalimantan Selatan,4789,4871,4954,5037,5120,5204,5287,4162.4,4216.3,4073.6,4122.6,4182.1
Kalimantan Timur,4489,4566,4641,4716,4790,4862,4933,3573.8,3619.7,3766.0,3808.2,3859.8
Kalimantan Utara,2275,2330,2385,2440,2495,2550,2605,682.8,695.6,701.8,713.6,727.8
Sulawesi Utara,3714,3785,3854,3923,3990,4056,4120,2474.4,2494.1,2621.9,2638.6,2659.5
Gorontalo,3674,3772,3871,3970,4069,4168,4267,1166.1,1176.4,1171.7,1181.0,1192.7
Sulawesi Tengah,-,-,-,-,-,-,-,3001.9,3042.1,2985.7,3021.9,3066.1
Sulawesi Selatan,2306,2334,2360,2387,2412,2437,2461,8748.1,8819.5,9073.5,9139.5,9225.8
Sulawesi Barat,2693,2739,2786,2831,2877,2922,2966,1340.1,1359.2,1419.2,1436.8,1458.6
Sulawesi Tenggara,8156,8250,8342,8432,8520,8606,8690,2623.6,2663.7,2624.9,2659.2,2701.7
Bali,2294,2346,2397,2448,2500,2551,2602,4309.2,4362.0,4317.4,4362.7,4415.1
Nusa Tenggara Barat,1063,1080,1098,1116,1133,1151,1168,5077.7,5152.4,5320.1,5390.0,5473.7
Nusa Tenggara Timur,1188,1211,1234,1258,1282,1306,1331,5360.3,5437.2,5325.6,5387.7,5466.3
Maluku,1571,1600,1628,1657,1686,1716,1745,1749.5,1768.5,1848.9,1862.6,1881.7
Maluku Utara,1067,1091,1115,1139,1162,1186,1209,1218.8,1235.7,1282.9,1299.2,1319.3
Papua Barat,786,807,828,850,872,893,915,941.4,963.6,1134.1,1156.8,1183.3
Papua,2915,2974,3032,3091,3149,3207,3265,3300.2,3347.1,4303.7,4355.5,4418.6
Indonesia,241991,245416,248818,252165,255462,258705,261891,264161.6,266911.9,270203.9,272682.5,275773.8
