Province,2011,2012,2013,2014,2015
Aceh,150,137,151,142,146
Sumatera Utara,225,227,218,200,105
Sumatera Barat,,230,232,163,185
Riau,211,217,214,188,140
Jambi,209,191,229,199,135
Sumatera Selatan,217,194,238,176,138
Bengkulu,,143,250,174,166
Lampung,118,143,198,178,151
Kepulauan Bangka Belitung,213,195,243,179,163
Kepulauan Riau,205,202,227,174,174
DKI Jakarta,,139,172,157,121
Jawa Barat,215,219,240,226,177
Jawa Tengah,174,164,187,187,140
DI Yogyakarta,170,163,149,160,119
Jawa Timur,,,181,154,133
Banten,165,171,206,176,155
Bali,174,132,157,160,124
Nusa Tenggara Barat,,153,160,106,91
Nusa Tenggara Timur,140,88,126,103,82
Kalimantan Barat,196,218,,217,215
Kalimantan Tengah,218,210,241,175,155
Kalimantan Selatan,195,225,243,221,166
Kalimantan Timur,231,231,259,146,186
Kalimantan Utara,,,248,217,202
Sulawesi Utara,276,230,265,229,127
Sulawesi Tengah,,,,167,68
Sulawesi Selatan,176,191,213,190,155
Sulawesi Tenggara,121,,206,172,141
Gorontalo,215,207,207,152,76
Sulawesi Barat,175,165,198,153,93
Maluku,257,226,,229,167
Maluku Utara,239,,215,183,127
Papua Barat,246,256,251,231,218
Papua,196,219,251,202,168
