Province,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aceh ,3.17,3.23,2.92,2.49,2.94,2.35,2.02,1.51,1.44,1.20,1.03,1.17
Sumatera Utara,2.34,2.13,1.82,1.82,2.29,0.31,1.96,1.52,1.25,1.41,1.44,1.40
Sumatera Barat,2.02,1.93,1.85,1.89,2.16,1.41,1.44,1.50,1.13,1.06,0.90,1.32
Riau ,2.39,2.32,2.18,2.36,2.25,1.81,1.99,1.56,1.74,1.64,0.71,2.03
Jambi,3.56,3.61,3.14,3.35,3.43,2.60,3.20,2.82,2.37,2.16,2.17,2.55
Sumatera Selatan,2.95,2.47,2.46,2.40,2.38,1.26,1.48,1.79,1.90,1.63,0.81,1.80
Bengkulu ,3.72,3.45,2.92,2.77,3.66,1.79,2.43,2.22,2.71,2.16,2.07,1.94
Lampung ,4.02,3.68,3.40,3.17,3.44,1.99,2.43,2.45,2.11,1.76,1.66,1.74
Kepulauan Bangka Belitung,4.26,4.44,3.92,3.41,3.79,1.75,2.78,2.81,3.02,2.65,2.33,1.98
Kepulauan Riau,2.39,2.41,2.39,2.67,2.83,1.36,1.76,2.31,1.78,1.49,1.29,1.69
DKI Jakarta,1.60,1.02,1.05,1.13,1.22,1.49,0.85,1.14,0.90,0.86,0.61,0.88
Jawa Barat,3.60,3.38,3.37,3.36,3.45,1.34,2.68,2.56,2.04,1.82,1.80,1.81
Jawa Tengah,7.28,6.69,6.69,6.13,6.58,3.73,5.27,4.94,4.50,4.03,4.01,3.48
DI Yogyakarta,6.78,6.51,6.27,5.55,6.14,5.15,4.83,4.66,4.23,3.59,3.11,2.90
Jawa Timur,8.81,8.12,7.93,7.61,8.26,7.43,6.69,6.34,5.80,4.89,4.32,4.61
Banten,4.04,3.46,4.05,3.61,4.16,3.45,2.90,2.68,2.31,2.10,2.00,2.52
Bali ,8.34,8.16,8.01,7.83,7.42,6.12,6.42,5.82,5.08,4.68,4.21,4.65
Nusa Tenggara Barat,13.36,12.18,12.22,10.23,12.28,10.38,10.08,9.29,7.69,6.67,6.56,6.14
Nusa Tenggara Timur,8.10,7.41,7.06,6.41,7.07,2.06,5.88,5.22,4.49,4.20,4.20,3.67
Kalimantan Barat,8.77,7.37,8.13,7.53,7.74,5.70,7.00,6.38,6.23,5.91,5.45,5.04
Kalimantan Tengah,2.75,2.21,1.97,2.26,2.53,0.67,1.54,2.03,1.80,1.52,1.11,1.79
Kalimantan Selatan,3.53,2.88,2.67,2.71,3.33,1.19,2.23,2.24,2.05,2.16,1.54,1.21
Kalimantan Timur,2.74,2.48,2.55,2.14,2.35,1.97,1.84,2.36,1.66,2.15,1.56,1.22
Kalimantan Utara,-,-,-,-,4.04,0.56,3.82,3.00,3.10,2.64,1.99,3.85
Sulawesi Utara,0.70,0.79,0.57,0.61,0.82,0.80,0.59,0.59,0.53,0.38,0.46,0.36
Sulawesi Tengah,3.49,3.26,3.11,2.90,3.05,0.52,2.46,2.09,2.26,1.85,2.73,2.37
Sulawesi Selatan,8.23,7.44,7.28,7.13,7.74,4.30,6.27,5.65,5.16,4.55,4.72,4.36
Sulawesi Tenggara,5.74,5.74,4.82,4.51,5.22,3.79,4.26,3.56,3.88,2.96,3.64,3.09
Gorontalo,1.90,2.39,1.84,1.80,1.47,1.43,1.49,1.04,1.07,0.87,2.66,3.16
Sulawesi Barat,8.07,6.36,7.41,6.64,7.26,0.76,5.37,4.90,4.95,4.93,5.34,5.44
Maluku,2.85,2.34,1.76,1.83,1.86,1.41,1.49,1.13,1.25,1.34,2.27,1.17
Maluku Utara,3.29,2.55,2.17,2.11,1.86,1.91,2.11,1.55,1.72,1.30,1.08,1.66
Papua Barat,5.72,4.20,4.38,3.91,5.20,4.15,3.76,3.11,3.49,3.19,3.55,4.79
Papua,33.47,30.99,32.04,29.47,30.56,22.72,22.62,26.46,26.57,25.70,25.55,27.99
INDONESIA,5.72,5.24,5.16,4.87,5.25,3.51,4.15,3.96,3.57,3.19,3.01,3.09
