Province,2024 Predicted Energy Capacity (MW),2024 Predicted Maximum Generation (GWh)
ACEH,1130.9844955838375,9934.567809208429
SUMATERA UTARA,3673.1867392840013,32265.27231787067
SUMATERA BARAT,1031.7474976517192,9062.870019372702
RIAU,2494.7169388243246,21913.593590632867
JAMBI,822.5000257221977,7224.840225943785
SUMATERA SELATAN,1561.794934209876,13718.806702099551
BENGKULU,1445.2077678051041,12694.705032400034
LAMPUNG,1142.8022715381971,10038.375153191524
KEP. BANGKA BELITUNG,428.84508013187906,3766.9751838784255
KEP. RIAU,1494.8464581100006,13130.731288038247
DKI JAKARTA,7011.779965327119,61591.47521543341
JAWA BARAT,11969.773087243455,105142.48679834651
JAWA TENGAH,4986.061181062569,43797.5614144536
DI YOGYAKARTA,5607.077419621298,49252.56805395348
JAWA TIMUR,5971.113994010202,52450.26532338562
BANTEN,7505.521334792183,65928.49940481453
BALI,1021.8478338872692,8975.911372865772
NUSA TENGGARA BARAT,788.4988597419815,6926.173983973566
NUSA TENGGARA TIMUR,891.0574422957584,7827.048573125941
KALIMANTAN BARAT,1119.9061896090116,9837.255969525557
KALIMANTAN TENGAH,304.3021396462,2672.9899946522205
KALIMANTAN SELATAN,698.0091970629064,6131.31278700057
KALIMANTAN TIMUR,1294.4538570252844,11370.482680110099
KALIMANTAN UTARA,292.6223886964531,2570.395062309644
SULAWESI UTARA,1535.0851311564306,13484.187792078086
SULAWESI TENGAH,802.0334968164452,7045.062236035656
SULAWESI SELATAN,1522.2862354187118,13371.762291917965
SULAWESI TENGGARA,986.1836904660081,8662.637537053415
GORONTALO,918.0628577220145,8064.264142230176
SULAWESI BARAT,1060.6065203112971,9316.367674414434
MALUKU,205.7188751860058,1807.034599633875
MALUKU UTARA,378.99580200228274,3329.0991247880515
PAPUA BARAT,150.13813440619606,1318.8133726240262
PAPUA,993.7993147832153,8729.533181055764
INDONESIA,77174.83082526378,677903.713969117
